Disease::DOID:0050156	idiopathic pulmonary fibrosis	特发性肺纤维化
Disease::MESH:D009196	Myeloproliferative Disorders	骨髓增生性疾病
Disease::MESH:D009198	Myiasis	蝇蛆病
Disease::MESH:D009202	Cardiomyopathies	心肌病
Disease::MESH:D009203	Myocardial Infarction	心肌梗塞
Disease::MESH:D009204	Myocardial Revascularization	心肌血运重建
Disease::MESH:D009205	Myocarditis	心肌炎
Disease::MESH:D009207	Myoclonus	肌阵挛
Disease::MESH:D009208	Myoepithelioma	肌上皮瘤
Disease::MESH:D009209	Myofascial Pain Syndromes	肌筋膜疼痛综合征
Disease::MESH:D009212	Myoglobinuria	肌红蛋白尿
Disease::MESH:D009214	Myoma	肌瘤
Disease::MESH:D009216	Myopia	近视眼
Disease::MESH:D009217	Myosarcoma	肌肉瘤
Disease::MESH:D009220	Myositis	肌炎
Disease::MESH:D009221	Myositis Ossificans	骨化性肌炎
Disease::MESH:D009222	Myotonia	肌强直
Disease::MESH:D009223	Myotonic Dystrophy	强直性肌营养不良
Disease::MESH:D009224	Myotonia Congenita	先天性肌强直
Disease::MESH:D009230	Myxedema	粘液瘤
Disease::MESH:D009232	Myxoma	粘液瘤
Disease::MESH:D009234	Myxomatosis, Infectious	粘液瘤病，传染性
Disease::MESH:D009260	Nail Diseases	指甲疾病
Disease::MESH:D009261	Nail-Patella Syndrome	指甲髌骨综合征
Disease::MESH:D009290	Narcolepsy	嗜睡症
Disease::MESH:D009293	Opioid-Related Disorders	阿片类药物相关疾病
Disease::MESH:D009298	Nasal Polyps	鼻息肉
Disease::MESH:D009304	Nasopharyngitis	鼻咽炎
Disease::MESH:D009325	Nausea	恶心
Disease::MESH:D009335	Necrobiosis Lipoidica	类脂性坏死
Disease::MESH:D009336	Necrosis	坏死
Disease::MESH:D009349	Nematode Infections	线虫感染
Disease::MESH:D009357	Neonatal Abstinence Syndrome	新生儿禁欲综合征
Disease::MESH:D009358	Congenital, Hereditary, and Neonatal Diseases and Abnormalities	先天性、遗传性和新生儿疾病及异常
Disease::MESH:D009360	Neoplastic Cells, Circulating	新生细胞，循环
Disease::MESH:D009361	Neoplasm Invasiveness	肿瘤侵袭性
Disease::MESH:D009362	Neoplasm Metastasis	肿瘤转移
Disease::MESH:D009366	Neoplasm Seeding	肿瘤播种
Disease::MESH:D009369	Neoplasms	肿瘤
Disease::MESH:D009371	Neoplasms by Site	肿瘤（按部位）
Disease::MESH:D009373	Neoplasms, Germ Cell and Embryonal	肿瘤、生殖细胞和胚胎
Disease::MESH:D009375	Neoplasms, Glandular and Epithelial	肿瘤，腺体和上皮
Disease::MESH:D009377	Multiple Endocrine Neoplasia	多发性内分泌肿瘤
Disease::MESH:D009378	Neoplasms, Multiple Primary	肿瘤，多原发性
Disease::MESH:D009379	Neoplasms, Muscle Tissue	肿瘤，肌肉组织
Disease::MESH:D009382	Neoplasms, Unknown Primary	肿瘤，未知原发性
Disease::MESH:D009383	Neoplasms, Vascular Tissue	肿瘤，血管组织
Disease::MESH:D009384	Paraneoplastic Endocrine Syndromes	副肿瘤内分泌综合征
Disease::MESH:D009386	Neoplastic Syndromes, Hereditary	肿瘤综合征，遗传性
Disease::MESH:D009393	Nephritis	肾炎
Disease::MESH:D009394	Nephritis, Hereditary	肾炎，遗传性
Disease::MESH:D009395	Nephritis, Interstitial	肾炎，间质性
Disease::MESH:D009396	Wilms Tumor	肾母细胞瘤
Disease::MESH:D009397	Nephrocalcinosis	肾钙质沉着症
Disease::MESH:D009400	Nephrosclerosis	肾硬化症
Disease::MESH:D009401	Nephrosis	肾病
Disease::MESH:D009402	Nephrosis, Lipoid	肾病，类脂
Disease::MESH:D009404	Nephrotic Syndrome	肾病综合征
Disease::MESH:D009408	Nerve Compression Syndromes	神经卡压综合征
Disease::MESH:D009410	Nerve Degeneration	神经变性
Disease::MESH:D009421	Nervous System Malformations	神经系统畸形
Disease::MESH:D009422	Nervous System Diseases	神经系统疾病
Disease::MESH:D009436	Neural Tube Defects	神经管缺陷
Disease::MESH:D009437	Neuralgia	神经痛
Disease::MESH:D009440	Neurasthenia	神经衰弱症
Disease::MESH:D009442	Neurilemmoma	神经鞘瘤
Disease::MESH:D009443	Neuritis	神经炎
Disease::MESH:D009447	Neuroblastoma	神经母细胞瘤
Disease::MESH:D009449	Neurocirculatory Asthenia	神经循环衰弱
Disease::MESH:D009450	Neurodermatitis	神经性皮炎
Disease::MESH:D009455	Neurofibroma	神经纤维瘤
Disease::MESH:D009456	Neurofibromatosis 1	神经纤维瘤病1型
Disease::MESH:D009459	Neuroleptic Malignant Syndrome	神经抑制剂恶性综合征
Disease::MESH:D009461	Neurologic Manifestations	神经系统表现
Disease::MESH:D009463	Neuroma	神经瘤
Disease::MESH:D009464	Neuroma, Acoustic	神经瘤，声学
Disease::MESH:D009468	Neuromuscular Diseases	神经肌肉疾病
Disease::MESH:D009471	Neuromyelitis Optica	视神经脊髓炎
Disease::MESH:D009472	Neuronal Ceroid-Lipofuscinoses	神经元类Ceroid脂褐素类
Disease::MESH:D009477	Hereditary Sensory and Autonomic Neuropathies	遗传性感觉神经和自主神经病变
Disease::MESH:D009494	Neurosyphilis	神经梅毒
Disease::MESH:D009497	Neurotic Disorders	神经性疾病
Disease::MESH:D009503	Neutropenia	中性粒细胞减少症
Disease::MESH:D009506	Nevus	内华达州
Disease::MESH:D009507	Nevus of Ota	太田痣
Disease::MESH:D009508	Nevus, Pigmented	痣，着色
Disease::MESH:D009521	Newcastle Disease	纽卡斯尔病
Disease::MESH:D009542	Niemann-Pick Diseases	尼曼-皮克病
Disease::MESH:D009617	Nocardia Infections	诺卡氏菌感染
Disease::MESH:D009634	Noonan Syndrome	努南综合征
Disease::MESH:D009668	Nose Diseases	鼻子疾病
Disease::MESH:D009755	Night Blindness	夜间失明
Disease::MESH:D009759	Nystagmus, Pathologic	眼球震颤，病理学
Disease::MESH:D009765	Obesity	肥胖
Disease::MESH:D009767	Obesity, Morbid	肥胖，病态
Disease::MESH:D009771	Obsessive-Compulsive Disorder	强迫症
Disease::MESH:D009783	Dermatitis, Occupational	皮炎，职业性
Disease::MESH:D009784	Occupational Diseases	职业病
Disease::MESH:D009794	Ochronosis	眼球发育不全
Disease::MESH:D009798	Ocular Hypertension	眼部高血压
Disease::MESH:D009800	Oculocerebrorenal Syndrome	眼-脑-肾综合征
Disease::MESH:D009807	Odontogenic Cysts	牙源性囊肿
Disease::MESH:D009810	Odontoma	齿瘤
Disease::MESH:D009814	Oesophagostomiasis	胃食管口病
Disease::MESH:D009837	Oligodendroglioma	少突胶质瘤
Disease::MESH:D009839	Oligomenorrhea	月经过少
Disease::MESH:D009845	Oligospermia	少精子症
Disease::MESH:D009846	Oliguria	少尿症
Disease::MESH:D009855	Onchocerciasis	盘尾丝虫病
Disease::MESH:D009877	Endophthalmitis	眼内炎
Disease::MESH:D009878	Ophthalmia Neonatorum	新生儿眼科
Disease::MESH:D009879	Ophthalmia, Sympathetic	眼科，交感神经
Disease::MESH:D009886	Ophthalmoplegia	眼肌麻痹
Disease::MESH:D009889	Opisthorchiasis	地峡病
Disease::MESH:D009894	Opportunistic Infections	机会性感染
Disease::MESH:D009896	Optic Atrophy	视神经萎缩
Disease::MESH:D009901	Optic Nerve Diseases	视神经疾病
Disease::MESH:D009902	Optic Neuritis	视神经炎
Disease::MESH:D009909	Oral Health	口腔健康
Disease::MESH:D009914	Oral Submucous Fibrosis	口腔粘膜下纤维化
Disease::MESH:D009916	Orbital Diseases	眼眶疾病
Disease::MESH:D009917	Orbital Fractures	眶骨折
Disease::MESH:D009920	Orchitis	兰花病
Disease::MESH:D009956	Psittacosis	鹦鹉热
Disease::MESH:D009958	Orofaciodigital Syndromes	口腔颌指综合征
Disease::MESH:D009959	Oropharyngeal Neoplasms	口咽肿瘤
Disease::MESH:D009981	Influenza B virus	B型流感病毒
Disease::MESH:D009999	Ossification, Heterotopic	骨化，异位
Disease::MESH:D010000	Osteitis	蛇纹石属
Disease::MESH:D010001	Osteitis Deformans	变形性骨炎
Disease::MESH:D010003	Osteoarthritis	骨关节炎
Disease::MESH:D010004	Osteoarthropathy, Primary Hypertrophic	骨关节病，原发性肥大
Disease::MESH:D010007	Osteochondritis	骨软骨炎
Disease::MESH:D010009	Osteochondrodysplasias	骨软骨发育不良
Disease::MESH:D010013	Osteogenesis Imperfecta	成骨不全
Disease::MESH:D010014	Osteolysis	骨溶解作用
Disease::MESH:D010015	Osteolysis, Essential	骨溶解，必需
Disease::MESH:D010017	Osteoma, Osteoid	骨瘤，类骨
Disease::MESH:D010018	Osteomalacia	骨软化症
Disease::MESH:D010019	Osteomyelitis	骨髓炎
Disease::MESH:D010020	Osteonecrosis	骨坏死
Disease::MESH:D010022	Osteopetrosis	骨质疏松症
Disease::MESH:D010024	Osteoporosis	骨质疏松症
Disease::MESH:D010025	Osteoradionecrosis	放射性骨坏死
Disease::MESH:D010026	Osteosclerosis	骨硬化症
Disease::MESH:D010031	Otitis	中耳炎
Disease::MESH:D010032	Otitis Externa	外耳道炎
Disease::MESH:D010033	Otitis Media	中耳炎
Disease::MESH:D010034	Otitis Media with Effusion	中耳炎伴积液
Disease::MESH:D010035	Otitis Media, Suppurative	化脓性中耳炎
Disease::MESH:D010038	Otorhinolaryngologic Diseases	耳鼻咽喉疾病
Disease::MESH:D010040	Otosclerosis	耳硬化症
Disease::MESH:D010048	Ovarian Cysts	卵巢囊腫
Disease::MESH:D010049	Ovarian Diseases	卵巢疾病
Disease::MESH:D010051	Ovarian Neoplasms	卵巢肿瘤
Disease::MESH:D010052	Ovariectomy	卵巢切除术
Disease::MESH:D010123	Oxyuriasis	棘球蚴病
Disease::MESH:D010145	Paget Disease, Extramammary	Paget病，乳腺外
Disease::MESH:D010146	Pain	疼痛
Disease::MESH:D010149	Pain, Postoperative	疼痛，术后
Disease::MESH:D010181	Pancreatic Cyst	胰腺囊肿
Disease::MESH:D010182	Pancreatic Diseases	胰腺疾病
Disease::MESH:D010185	Pancreatic Fistula	胰腺瘘
Disease::MESH:D010188	Exocrine Pancreatic Insufficiency	外分泌性胰腺功能不全
Disease::MESH:D010190	Pancreatic Neoplasms	胰腺肿瘤
Disease::MESH:D010192	Pancreatic Pseudocyst	胰腺假性囊肿
Disease::MESH:D010195	Pancreatitis	胰腺炎
Disease::MESH:D010198	Pancytopenia	血小板减少症
Disease::MESH:D010201	Panniculitis, Nodular Nonsuppurative	脂膜炎，结节性非化脓性
Disease::MESH:D010211	Papilledema	乳头状瘤
Disease::MESH:D010212	Papilloma	乳头状瘤
Disease::MESH:D010229	Paracoccidioidomycosis	副球虫病
Disease::MESH:D010235	Paraganglioma	副神经节瘤
Disease::MESH:D010237	Paragonimiasis	并殖吸虫病
Disease::MESH:D010243	Paralysis	麻痹
Disease::MESH:D010245	Paralyses, Familial Periodic	麻痹，家族性周期性
Disease::MESH:D010249	Parametritis	副肌炎
Disease::MESH:D010255	Paranasal Sinus Neoplasms	鼻窦肿瘤
Disease::MESH:D010257	Paraneoplastic Syndromes	肿瘤综合征
Disease::MESH:D010259	Paranoid Disorders	偏执障碍
Disease::MESH:D010262	Paraphilic Disorders	嗜性障碍
Disease::MESH:D010265	Paraproteinemias	副蛋白血症
Disease::MESH:D010267	Parapsoriasis	副银屑病
Disease::MESH:D010272	Parasitic Diseases	寄生虫病
Disease::MESH:D010279	Parathyroid Diseases	甲状旁腺疾病
Disease::MESH:D010282	Parathyroid Neoplasms	甲状旁腺肿瘤
Disease::MESH:D010283	Paratuberculosis	副结核病
Disease::MESH:D010284	Paratyphoid Fever	副伤寒
Disease::MESH:D010291	Paresis	Paresis公司
Disease::MESH:D010292	Paresthesia	感觉异常
Disease::MESH:D010300	Parkinson Disease	帕金森病
Disease::MESH:D010301	Parkinson Disease, Postencephalitic	帕金森病，脑炎后
Disease::MESH:D010302	Parkinson Disease, Secondary	帕金森病，继发性
Disease::MESH:D010304	Paronychia	甲沟炎
Disease::MESH:D010309	Parotitis	腮腺炎
Disease::MESH:D010319	Parturient Paresis	产妇分娩
Disease::MESH:D010326	Pasteurella Infections	巴氏杆菌感染
Disease::MESH:D010373	Lice Infestations	虱子感染
Disease::MESH:D010374	Pediculus	椎弓根
Disease::MESH:D010381	Pelger-Huet Anomaly	Pelger色调异常
Disease::MESH:D010382	Peliosis Hepatis	赫帕提斯佩里希斯
Disease::MESH:D010383	Pellagra	佩拉格拉
Disease::MESH:D010386	Pelvic Neoplasms	盆腔肿瘤
Disease::MESH:D010390	Pemphigoid, Benign Mucous Membrane	类天疱疮，良性粘膜
Disease::MESH:D010391	Pemphigoid, Bullous	类天疱疮，大疱性
Disease::MESH:D010392	Pemphigus	天疱疮
Disease::MESH:D010411	Penile Induration	阴茎勃起
Disease::MESH:D010412	Penile Neoplasms	阴茎肿瘤
Disease::MESH:D010437	Peptic Ulcer	消化性溃疡
Disease::MESH:D010438	Peptic Ulcer Hemorrhage	消化性溃疡出血
Disease::MESH:D010468	Perceptual Disorders	知觉障碍
Disease::MESH:D010483	Periapical Diseases	根尖周疾病
Disease::MESH:D010484	Periapical Granuloma	根尖周肉芽肿
Disease::MESH:D010485	Periapical Periodontitis	根尖周炎
Disease::MESH:D010488	Polyarteritis Nodosa	结节性多动脉炎
Disease::MESH:D010489	Periarthritis	关节炎周围
Disease::MESH:D010490	Pericardial Effusion	心包积液
Disease::MESH:D010493	Pericarditis	心包炎
Disease::MESH:D010494	Pericarditis, Constrictive	心包炎，收缩性
Disease::MESH:D010495	Pericarditis, Tuberculous	心包炎，结核性
Disease::MESH:D010497	Pericoronitis	冠周炎
Disease::MESH:D010505	Familial Mediterranean Fever	家族性地中海热
Disease::MESH:D010509	Periodontal Cyst	牙周囊肿
Disease::MESH:D010510	Periodontal Diseases	牙周疾病
Disease::MESH:D010518	Periodontitis	牙周炎
Disease::MESH:D010520	Aggressive Periodontitis	侵袭性牙周炎
Disease::MESH:D010522	Periostitis	骨膜炎
Disease::MESH:D010523	Peripheral Nervous System Diseases	周围神经系统疾病
Disease::MESH:D010524	Peripheral Nervous System Neoplasms	周围神经系统肿瘤
Disease::MESH:D010532	Peritoneal Diseases	腹膜疾病
Disease::MESH:D010538	Peritonitis	腹膜炎
Disease::MESH:D010547	Persistent Fetal Circulation Syndrome	持续性胎儿循环综合征
Disease::MESH:D010554	Personality Disorders	人格障碍
Disease::MESH:D010580	Peutz-Jeghers Syndrome	Peutz-Jeghers综合征
Disease::MESH:D010585	Phagocyte Bactericidal Dysfunction	吞噬细胞杀菌功能障碍
Disease::MESH:D010591	Phantom Limb	幻肢
Disease::MESH:D010610	Pharyngeal Neoplasms	咽肿瘤
Disease::MESH:D010612	Pharyngitis	咽炎
Disease::MESH:D010623	Phencyclidine Abuse	苯环苯胺滥用
Disease::MESH:D010661	Phenylketonurias	苯丙酮尿症
Disease::MESH:D010673	Pheochromocytoma	嗜铬细胞瘤
Disease::MESH:D010677	Philadelphia Chromosome	费城染色体
Disease::MESH:D010688	Phimosis	包茎病
Disease::MESH:D010689	Phlebitis	静脉炎
Disease::MESH:D010698	Phobic Disorders	恐怖症
Disease::MESH:D010787	Photosensitivity Disorders	光过敏疾患
Disease::MESH:D010842	Pica	皮卡
Disease::MESH:D010845	Obesity Hypoventilation Syndrome	肥胖-低通气综合征
Disease::MESH:D010855	Pierre Robin Syndrome	皮埃尔·罗宾综合征
Disease::MESH:D010859	Pigmentation Disorders	色素沉着病
Disease::MESH:D010864	Pilonidal Sinus	Pilonidal窦
Disease::MESH:D010871	Pinealoma	Pinaloma公司
Disease::MESH:D010874	Pinta	平塔牌手表
Disease::MESH:D010899	Pituitary Apoplexy	垂体卒中
Disease::MESH:D010900	Pituitary Diseases	垂体疾病
Disease::MESH:D010911	Pituitary Neoplasms	垂体肿瘤
Disease::MESH:D010915	Pityriasis	糠疹
Disease::MESH:D010916	Pityriasis Rubra Pilaris	毛糙糠疹
Disease::MESH:D010921	Placenta Accreta	增生胎盘
Disease::MESH:D010922	Placenta Diseases	胎盘疾病
Disease::MESH:D010923	Placenta Previa	前置胎盘
Disease::MESH:D010927	Placental Insufficiency	胎盘功能不全
Disease::MESH:D010930	Plague	瘟疫
Disease::MESH:D010939	Plant Poisoning	植物中毒
Disease::MESH:D010954	Plasmacytoma	浆细胞瘤
Disease::MESH:D010974	Platelet Aggregation	血小板聚集
Disease::MESH:D010985	Platybasia	Platybasia公司
Disease::MESH:D010995	Pleural Diseases	胸膜疾病
Disease::MESH:D010996	Pleural Effusion	胸腔积液
Disease::MESH:D010998	Pleurisy	胸膜炎
Disease::MESH:D011004	Plummer-Vinson Syndrome	Plummer-Vinson综合征
Disease::MESH:D011006	Pneumatosis Cystoides Intestinalis	肠囊样气瘤病
Disease::MESH:D011007	Pneumocephalus	肺炎球菌
Disease::MESH:D011008	Pneumococcal Infections	肺炎球菌感染
Disease::MESH:D011009	Pneumoconiosis	尘肺病
Disease::MESH:D011014	Pneumonia	肺炎
Disease::MESH:D011015	Pneumonia, Aspiration	肺炎，吸入
Disease::MESH:D011017	Pneumonia, Lipid	肺炎，脂质
Disease::MESH:D011018	Pneumonia, Pneumococcal	肺炎，肺炎球菌
Disease::MESH:D011019	Pneumonia, Mycoplasma	肺炎，支原体
Disease::MESH:D011020	Pneumonia, Pneumocystis	肺炎，肺囊虫病
Disease::MESH:D011023	Pneumonia, Staphylococcal	肺炎，葡萄球菌
Disease::MESH:D011027	Pneumoperitoneum	气腹
Disease::MESH:D011030	Pneumothorax	气胸
Disease::MESH:D011038	Rothmund-Thomson Syndrome	Rothmund-Thomson综合征
Disease::MESH:D011041	Poisoning	中毒
Disease::MESH:D011051	Poliomyelitis	脊髓灰质炎
Disease::MESH:D011081	Polychondritis, Relapsing	多软骨炎，复发
Disease::MESH:D011085	Polycystic Ovary Syndrome	多囊卵巢综合征
Disease::MESH:D011086	Polycythemia	红细胞增多症
Disease::MESH:D011087	Polycythemia Vera	维拉红细胞增多症
Disease::MESH:D011111	Polymyalgia Rheumatica	风湿性多肌痛
Disease::MESH:D011115	Polyneuropathies	多神经病
Disease::MESH:D011123	Polyploidy	多倍体
Disease::MESH:D011125	Adenomatous Polyposis Coli	大肠腺瘤性息肉病
Disease::MESH:D011127	Polyps	息肉
Disease::MESH:D011128	Polyradiculopathy	多神经根病
Disease::MESH:D011129	Polyradiculoneuropathy	多神经根神经病
Disease::MESH:D011141	Polyuria	多尿症
Disease::MESH:D011146	Eczema, Dyshidrotic	湿疹，骨质疏松
Disease::MESH:D011164	Porphyrias	卟啉症
Disease::MESH:D011183	Postoperative Complications	术后并发症
Disease::MESH:D011185	Postpericardiotomy Syndrome	心包切开术后综合征
Disease::MESH:D011213	Poxviridae Infections	痘病毒科感染
Disease::MESH:D011218	Prader-Willi Syndrome	Prader-Willi综合征
Disease::MESH:D011225	Pre-Eclampsia	子痫前期
Disease::MESH:D011226	Pre-Excitation Syndromes	预激综合征
Disease::MESH:D011230	Precancerous Conditions	癌前条件
Disease::MESH:D011236	Prediabetic State	糖尿病前期状态
Disease::MESH:D011247	Pregnancy	怀孕
Disease::MESH:D011254	Pregnancy in Diabetics	糖尿病患者妊娠
Disease::MESH:D011271	Pregnancy, Ectopic	妊娠，异位
Disease::MESH:D011274	Pregnancy, Tubal	妊娠，输卵管
Disease::MESH:D011289	Preleukemia	白血病前期
Disease::MESH:D011293	Premenstrual Syndrome	月经前综合征
Disease::MESH:D011297	Prenatal Exposure Delayed Effects	产前暴露延迟效应
Disease::MESH:D011305	Presbyopia	老花眼
Disease::MESH:D011317	Priapism	阴茎勃起
Disease::MESH:D011349	Proctitis	直肠炎
Disease::MESH:D011350	Proctocolitis	直肠结肠炎
Disease::MESH:D011371	Progeria	孕激素
Disease::MESH:D011469	Prostatic Diseases	前列腺疾病
Disease::MESH:D011470	Prostatic Hyperplasia	前列腺增生
Disease::MESH:D011471	Prostatic Neoplasms	前列腺肿瘤
Disease::MESH:D011472	Prostatitis	前列腺炎
Disease::MESH:D011475	Prosthesis Failure	假体失败
Disease::MESH:D011488	Protein Deficiency	蛋白质缺乏
Disease::MESH:D011502	Protein-Energy Malnutrition	蛋白质能量营养不良
Disease::MESH:D011504	Protein-Losing Enteropathies	蛋白丢失性肠病
Disease::MESH:D011507	Proteinuria	蛋白尿
